Title,Artist,BPM,Energy,Dance
kidsgonemad!,ISOxo,150,100,52
Siren,Sub Focus,174,99,49
LEFT TO RIGHT - Subsonic Remix,Odd Mob,174,96,56
Eyes On Me,Rova,88,97,75
Rain Dance,MUZZ,175,99,50
Jungle Tekno,Drumsound & Bassline Smith,174,97,54
Acid,Genetics,175,99,53
Black Out Days - Subtronics Remix,Phantogram,175,97,47
In My Head (Part I),i_o,130,92,53
In My Head,1111,139,96,63
Pyro,Particle,87,67,67
Wake Up,LUSU,134,87,52
Down Low - YDG Remix,it's murph,145,93,52
Flip It,Levity,160,68,77
Flip It - Tape B Remix,Levity,144,86,75
Baddadan - Hard-Techno Mix,EYESCROSSED,150,92,59
"Baddadan (feat. IRAH, Flowdan, Trigga & Takura)",Chase & Status,88,93,63
Baby Girl - James Hiraeth Remix,Disco Lines,87,71,58
Taste Like Hell,GG Magree,73,93,31
Disco Boy,Disco Lines,128,76,41
Diamond,YDG,145,84,81
ALL I NEED IS YOU,davert,140,63,53
Body,Party Favor,140,85,62
Backspin Bass,Tape B,140,90,61
Ignition,Levity,90,95,53
Get To You - Mersiv Remix,Saint Sinner,124,55,62
Gas Pedal Remix,John Summit,136,83,53
Wanna,Jamie xx,183,43,20
Criminal,Zeds Dead,142,86,78
XLR8,REAPER,174,96,41
Worth The Love,YUSSI,174,95,41
BACKBONE,Chase & Status,88,93,78
Devotion (feat. Cameron Hayes),Dimension,174,99,46
Solar System,Sub Focus,174,94,54
ESCAPE (Get Off The Internet),Eliminate,145,91,57
Lights Out,Zeds Dead,146,83,56
Emoboy303(side) -Leotrix [Lunar Flip],,,,
Waves,Zeds Dead,140,94,40
Natural Light - San Holo Remix,Porter Robinson,146,60,36
IN THE ZONE,Ryan Nevis,160,82,48
